MemberID,Email,Model_Y,True_Y,Prob_churn
15634602,15634602@gmail.com,0,1,0.15786009978074703
15647311,15647311@gmail.com,0,0,0.2541020061166254
15619304,15619304@gmail.com,0,1,0.37523399695178894
15701354,15701354@gmail.com,0,0,0.2940675802558434
15737888,15737888@gmail.com,0,0,0.25648839049585875
15574012,15574012@gmail.com,0,1,0.33213623877457893
15592531,15592531@gmail.com,0,0,0.07893759160179928
15656148,15656148@gmail.com,0,1,0.25308066955084313
15792365,15792365@gmail.com,0,0,0.12344118788785842
15592389,15592389@gmail.com,0,0,0.05512715731155729
15767821,15767821@gmail.com,0,0,0.10271780617997915
15737173,15737173@gmail.com,0,0,0.04539625827781581
15632264,15632264@gmail.com,0,0,0.13258598856270312
15691483,15691483@gmail.com,0,0,0.13448591576882057
15600882,15600882@gmail.com,0,0,0.07431075720065994
15643966,15643966@gmail.com,0,0,0.2342760904057684
15737452,15737452@gmail.com,0,1,0.4625873277867646
15788218,15788218@gmail.com,0,0,0.02647889553487966
15661507,15661507@gmail.com,0,0,0.30219065690813357
15568982,15568982@gmail.com,0,0,0.018863037134674222
15577657,15577657@gmail.com,0,0,0.08112439350405314
15597945,15597945@gmail.com,0,0,0.1782594699198551
15699309,15699309@gmail.com,0,1,0.4257225118113606
15725737,15725737@gmail.com,0,0,0.08230900149458441
15625047,15625047@gmail.com,0,0,0.14471326524089884
15738191,15738191@gmail.com,0,0,0.032186770163353244
15736816,15736816@gmail.com,0,0,0.2415679003726124
15700772,15700772@gmail.com,0,0,0.19698024900867306
15728693,15728693@gmail.com,0,0,0.367570174554723
15656300,15656300@gmail.com,0,0,0.03998906956289748
15589475,15589475@gmail.com,0,1,0.35950508568129136
15706552,15706552@gmail.com,0,0,0.11746071361650928
15750181,15750181@gmail.com,0,0,0.40108015393221846
15659428,15659428@gmail.com,0,0,0.18979838286732134
15732963,15732963@gmail.com,0,0,0.06709635179271425
15794171,15794171@gmail.com,0,1,0.4328145722424563
15788448,15788448@gmail.com,0,0,0.07901799755395793
